,0
0,184
1,181
2,181
3,177
4,185
5,189
6,186
7,177
8,180
9,193
10,175
11,119
12,128
13,105
14,58
15,61
16,88
17,97
18,81
19,83
20,102
21,116
22,170
23,209
24,219
25,218
26,210
27,186
28,166
29,176
30,191
31,211
32,189
33,185
34,184
35,181
36,182
37,190
38,194
39,186
40,188
41,185
42,165
43,117
44,107
45,91
46,59
47,55
48,65
49,79
50,77
51,77
52,98
53,113
54,143
55,184
56,206
57,211
58,209
59,202
60,172
61,152
62,177
63,202
64,198
65,197
66,192
67,194
68,187
69,186
70,189
71,178
72,180
73,167
74,139
75,110
76,88
77,77
78,64
79,54
80,56
81,64
82,77
83,76
84,83
85,102
86,93
87,93
88,123
89,140
90,149
91,184
92,192
93,181
94,184
95,191
96,194
97,203
98,203
99,204
100,199
101,186
102,181
103,177
104,170
105,140
106,110
107,107
108,112
109,98
110,81
111,58
112,54
113,57
114,70
115,80
116,70
117,84
118,87
119,64
120,56
121,62
122,69
123,112
124,175
125,198
126,203
127,202
128,152
129,167
130,192
131,202
132,209
133,201
134,186
135,172
136,152
137,97
138,59
139,92
140,119
141,127
142,108
143,68
144,53
145,55
146,69
147,106
148,67
149,60
150,84
151,82
152,69
153,63
154,62
155,64
156,99
157,131
158,172
159,201
160,100
161,85
162,108
163,132
164,185
165,206
166,199
167,179
168,148
169,90
170,45
171,63
172,93
173,114
174,122
175,77
176,45
177,48
178,86
179,139
180,71
181,49
182,79
183,92
184,84
185,76
186,81
187,86
188,64
189,67
190,110
191,149
192,97
193,72
194,77
195,89
196,127
197,161
198,170
199,172
200,161
201,150
202,133
203,113
204,98
205,83
206,94
207,67
208,35
209,32
210,89
211,139
212,61
213,50
214,75
215,85
216,83
217,85
218,101
219,108
220,75
221,60
222,85
223,99
224,101
225,88
226,99
227,118
228,113
229,98
230,88
231,94
232,107
233,167
234,187
235,170
236,139
237,93
238,73
239,60
240,36
241,26
242,82
243,122
244,46
245,52
246,77
247,69
248,63
249,76
250,88
251,91
252,64
253,52
254,71
255,82
256,107
257,103
258,111
259,133
260,139
261,122
262,96
263,49
264,46
265,137
266,190
267,178
268,145
269,117
270,84
271,67
272,40
273,28
274,82
275,130
276,58
277,45
278,63
279,52
280,48
281,56
282,60
283,51
284,40
285,45
286,68
287,76
288,99
289,107
290,137
291,156
292,153
293,152
294,136
295,68
296,48
297,116
298,165
299,101
300,120
301,185
302,129
303,74
304,35
305,49
306,150
307,199
308,137
309,54
310,56
311,48
312,44
313,48
314,48
315,39
316,31
317,35
318,60
319,68
320,63
321,89
322,124
323,165
324,171
325,166
326,154
327,79
328,56
329,90
330,72
331,32
332,120
333,195
334,170
335,84
336,43
337,69
338,160
339,207
340,176
341,71
342,59
343,50
344,42
345,41
346,41
347,42
348,49
349,90
350,123
351,124
352,25
353,56
354,95
355,120
356,174
357,177
358,151
359,87
360,65
361,67
362,46
363,25
364,88
365,159
366,163
367,111
368,82
369,97
370,160
371,132
372,59
373,48
374,50
375,46
376,39
377,32
378,27
379,43
380,141
381,199
382,206
383,198
384,23
385,54
386,91
387,101
388,149
389,188
390,132
391,87
392,68
393,46
394,54
395,54
396,70
397,91
398,134
399,108
400,114
401,177
402,184
403,149
404,113
405,92
406,46
407,44
408,43
409,38
410,37
411,84
412,147
413,192
414,208
415,202
416,88
417,111
418,130
419,136
420,143
421,183
422,138
423,93
424,71
425,44
426,46
427,45
428,91
429,80
430,125
431,141
432,169
433,207
434,199
435,182
436,111
437,149
438,75
439,47
440,49
441,62
442,115
443,185
444,172
445,169
446,198
447,207
448,101
449,118
450,137
451,146
452,147
453,166
454,154
455,120
456,103
457,64
458,51
459,86
460,109
461,94
462,147
463,207
464,233
465,223
466,221
467,215
468,184
469,163
470,136
471,42
472,30
473,58
474,145
475,159
476,106
477,45
478,57
479,105
480,40
481,49
482,61
483,83
484,107
485,123
486,113
487,89
488,112
489,77
490,79
491,63
492,67
493,102
494,153
495,192
496,212
497,215
498,202
499,186
500,197
501,200
502,164
503,65
504,38
505,48
506,102
507,156
508,129
509,77
510,58
511,26
512,48
513,21
514,11
515,15
516,26
517,34
518,39
519,45
520,84
521,88
522,82
523,76
524,80
525,104
526,131
527,167
528,191
529,207
530,206
531,192
532,195
533,203
534,193
535,105
536,71
537,65
538,64
539,127
540,113
541,130
542,145
543,107
544,123
545,59
546,11
547,10
548,14
549,39
550,96
551,148
552,93
553,58
554,64
555,77
556,93
557,102
558,118
559,141
560,167
561,192
562,214
563,206
564,180
565,158
566,172
567,142
568,67
569,66
570,71
571,100
572,72
573,91
574,129
575,156
576,131
577,93
578,22
579,23
580,40
581,87
582,160
583,165
584,74
585,97
586,126
587,126
588,122
589,112
590,114
591,128
592,153
593,175
594,187
595,210
596,227
597,219
598,168
599,151
600,70
601,50
602,62
603,59
604,30
605,37
606,78
607,128
608,109
609,98
610,57
611,63
612,63
613,71
614,125
615,133
616,60
617,87
618,92
619,94
620,96
621,99
622,109
623,118
624,123
625,131
626,117
627,123
628,141
629,167
630,202
631,137
632,78
633,48
634,57
635,60
636,51
637,45
638,52
639,74
640,115
641,86
642,66
643,89
644,110
645,130
646,150
647,109
648,54
649,75
650,80
651,84
652,90
653,100
654,107
655,112
656,116
657,125
658,128
659,131
660,125
661,123
662,155
663,132
664,71
665,52
666,55
667,55
668,64
669,55
670,40
671,38
672,105
673,75
674,103
675,126
676,152
677,178
678,192
679,104
680,73
681,96
682,87
683,91
684,95
685,103
686,111
687,119
688,128
689,144
690,155
691,162
692,171
693,180
694,192
695,163
696,78
697,54
698,47
699,33
700,36
701,37
702,27
703,27
704,61
705,70
706,66
707,77
708,90
709,135
710,150
711,79
712,48
713,105
714,98
715,94
716,98
717,106
718,117
719,137
720,141
721,155
722,160
723,163
724,173
725,190
726,203
727,144
728,118
729,71
730,29
731,17
732,17
733,25
734,22
735,21
736,47
737,68
738,32
739,37
740,71
741,73
742,62
743,51
744,39
745,87
746,99
747,95
748,97
749,107
750,117
751,128
752,134
753,137
754,135
755,148
756,178
757,191
758,150
759,152
760,135
761,130
762,49
763,15
764,19
765,22
766,20
767,19
768,44
769,76
770,36
771,49
772,54
773,58
774,60
775,46
776,91
777,96
778,93
779,92
780,97
781,109
782,120
783,127
784,145
785,150
786,135
787,127
788,159
789,188
790,133
791,168
792,160
793,153
794,106
795,20
796,20
797,21
798,18
799,18
800,34
801,66
802,54
803,67
804,51
805,67
806,52
807,103
808,130
809,105
810,99
811,102
812,101
813,103
814,101
815,107
816,137
817,166
818,161
819,137
820,151
821,195
822,144
823,135
824,176
825,152
826,148
827,54
828,15
829,18
830,16
831,15
832,22
833,36
834,51
835,42
836,29
837,72
838,90
839,119
840,106
841,100
842,102
843,106
844,101
845,95
846,95
847,95
848,99
849,133
850,158
851,165
852,175
853,196
854,195
855,92
856,116
857,142
858,158
859,103
860,37
861,24
862,19
863,18
864,61
865,24
866,39
867,50
868,74
869,135
870,125
871,104
872,82
873,91
874,104
875,99
876,96
877,99
878,100
879,98
880,100
881,104
882,115
883,130
884,145
885,163
886,200
887,118
888,82
889,121
890,122
891,141
892,66
893,47
894,38
895,37
896,89
897,19
898,30
899,48
900,101
901,176
902,117
903,68
904,71
905,90
906,100
907,95
908,96
909,94
910,87
911,85
912,92
913,97
914,100
915,115
916,131
917,113
918,138
919,160
920,93
921,82
922,97
923,133
924,69
925,60
926,52
927,55
928,52
929,41
930,42
931,48
932,94
933,185
934,112
935,40
936,72
937,100
938,103
939,98
940,98
941,93
942,93
943,89
944,86
945,89
946,97
947,108
948,134
949,112
950,85
951,130
952,155
953,86
954,97
955,102
956,77
957,63
958,53
959,61
960,90
961,79
962,60
963,49
964,90
965,178
966,119
967,16
968,60
969,131
970,147
971,145
972,136
973,124
974,116
975,111
976,110
977,107
978,106
979,109
980,113
981,97
982,131
983,93
984,160
985,166
986,125
987,107
988,100
989,93
990,63
991,61
992,110
993,92
994,57
995,77
996,119
997,189
998,115
999,17
1000,15
1001,47
1002,80
1003,83
1004,79
1005,92
1006,103
1007,109
1008,106
1009,98
1010,89
1011,89
1012,72
1013,73
1014,122
1015,91
1016,151
1017,190
1018,124
1019,114
1020,106
1021,127
1022,118
1023,81
