,0
799,77
800,78
801,64
802,70
803,97
804,54
805,71
806,100
807,135
808,61
809,77
810,73
811,63
812,52
813,42
814,117
815,108
816,49
817,5
818,0
819,9
820,129
821,201
822,213
823,109
824,34
825,33
826,20
827,65
828,79
829,60
830,75
831,74
832,51
833,60
834,61
835,67
836,25
837,108
838,65
839,99
840,96
841,85
842,59
843,54
844,68
845,76
846,179
847,136
848,61
849,55
850,34
851,62
852,102
853,115
854,82
855,78
856,52
857,53
858,46
859,64
860,74
861,52
862,68
863,89
864,31
865,57
866,68
867,51
868,62
869,82
870,69
871,87
872,82
873,85
874,57
875,71
876,85
877,87
878,96
879,98
880,80
881,83
882,81
883,88
884,87
885,58
886,69
887,48
888,49
889,105
890,72
891,59
892,79
893,44
894,75
895,99
896,87
897,71
898,41
899,76
900,73
901,67
902,77
903,100
904,77
905,64
906,61
907,88
908,72
909,73
910,81
911,68
912,75
913,81
914,87
915,90
916,81
917,62
918,42
919,48
920,57
921,117
922,50
923,48
924,86
925,93
926,143
927,171
928,139
929,149
930,112
931,41
932,80
933,80
934,90
935,70
936,61
937,65
938,58
939,73
940,73
941,88
942,87
943,87
944,107
945,105
946,104
947,82
948,60
949,91
950,57
951,65
952,70
953,56
954,60
955,60
956,95
957,85
958,123
959,168
960,156
961,162
962,158
963,134
964,88
965,81
966,83
967,73
968,68
969,71
970,52
971,47
972,62
973,78
974,91
975,78
976,83
977,85
978,109
979,88
980,70
981,65
982,54
983,79
984,86
985,79
986,104
987,82
988,67
989,72
990,52
991,67
992,171
993,169
994,171
995,166
996,128
997,76
998,72
999,103
1000,97
1001,80
1002,63
1003,56
1004,49
1005,62
1006,61
1007,32
1008,27
1009,55
1010,96
1011,88
1012,60
1013,47
1014,105
1015,97
1016,103
1017,92
1018,114
1019,116
1020,70
1021,61
1022,57
1023,62
